Date,UserID,TweetID,TweetPol,Tweet,QTweetID,ReplyTweetID,Mentions,hashtags
2018-05-15 05:53:31,39941878,996267311043522560,1.0,My best friends make me want to kill myself  And maybe I should  As will invoke our suicide pact https://t.co/Yh4AEApf3q,None,None,[],[]
2018-05-15 11:06:38,129235890,996346108216578050,1.0,@GJSantaAnaTweet But Death penalty for cop killers would be awesome!,None,996345725737930753,['GJSantaAnaTweet'],[]
2018-05-15 18:43:58,1670177857,996461199758970881,1.0,"@Avrimel319 @THEANOIDERS @Joosete22 @netanyahu 6 million Jews burned in ovens,killed under toxic gas,death in torture;it is a perfect thing",None,996459610344128517,"['Avrimel319', 'THEANOIDERS', 'Joosete22', 'netanyahu']",[]
2018-05-15 22:31:32,1010200968,996518468705898496,1.0,@MarkGoulston My best friend committed suicide about three or four years ago and it still kills me inside...,None,960916544946544641,['MarkGoulston'],[]
2018-05-16 00:04:04,869750911463239680,996541757058965505,1.0,"@speakn_my_truth @thehill And you can 'what about' me to death, but 'so what some of them kill people, Americans kill people too' is prolly not the best argument",None,996540230944612352,"['speakn_my_truth', 'thehill']",[]
2018-05-16 00:40:11,2951166468,996550845851471874,1.0,"Every time I kill a spider I wonder if it’s family will avenge the death by killing me not by spider bite, but by just massing around me until I suffocate and that is my greatest fear.",None,None,[],[]
2018-05-15 14:18:17,2332087450,996394341760487424,0.975,"@SarahGhanam @southernmimi1 @MusIbrahim_ @PaulGP2 @piersmorgan Are you deluded, they kit their wives and children out with suicide vests, they indoctrinate their women to carry knives to kill, they throw petrol bombs etc etc etc, sounds like very nice people to me!",None,996389162235367424,"['SarahGhanam', 'southernmimi1', 'MusIbrahim_', 'PaulGP2', 'piersmorgan']",[]
2018-05-15 11:51:29,310328384,996357395214413825,0.85,Like my homegirl bf paid thousands of dollars for landscaping (beautiful flowers and trees)...he pissed her off and she went and got weed killer and sprayed everything to death 😭😂😂,None,None,[],[]
2018-05-15 00:52:48,750455931473956865,996191635640811525,0.8,@yoGleech Man you have 4 kills how he did 6 times lol did he suicide 🤣🤣,None,996175125383995392,['yoGleech'],[]
2018-05-15 02:34:54,2222195496,996217329951346688,0.8,It’s not a hangout with Jaylin w/o her cracking one of her suicidal jokes to cope with her anxiety &amp; depression lol kill me,None,None,[],[]
2018-05-15 13:36:01,901059338634002432,996383704539774976,0.8,RT @readyfourdeath: no one can talk me out of suicide lol i know i’m going to kill myself eventually,None,None,['readyfourdeath'],[]
2018-05-15 19:27:23,1245074270,996472128080756736,0.8,"@MelAnneRose Would be AWESOME to see criminals get the death penalty for MURDERING a cop. How about for someone who leaves home every day to go to their job in an office/construction site/retail, who gets murdered - wouldn't it be nice if their killer were to get the death penalty too?",None,996420266266738689,['MelAnneRose'],[]
2018-05-15 22:53:10,850552976846475266,996523913428398082,0.8,Armys death is coming soon for us lol BTS didn’t come to play for this comeback they came to kill #IVOTEBTSBBMAs @BTS_twt https://t.co/lA8f6Ogk6c,996428293665521664,None,[],['IVOTEBTSBBMAs']
2018-05-15 23:02:26,932797992007905280,996526247394988032,0.8,Armys death is coming soon for us lol BTS didn’t come to play for this comeback they came to kill #IVOTEBTSBBMAs @BTS_twt https://t.co/lA8f6Ogk6c,996428293665521664,None,['Princes85801038'],['IVOTEBTSBBMAs']
2018-05-16 03:47:14,1357416270,996597919120683008,0.8,"@4ILorg @usembassyjlm Welcome to death,destruction,and stupidity.Stop killing innocents.Palestinians deserve a homeland...",None,995635785243222016,"['4ILorg', 'usembassyjlm']",[]
2018-05-16 10:55:05,129049981,996705591438393344,0.8,"RT @mardiasih: after #AsifaBano, we welcome #NouraHussein to sentence death for killing the rapist #MenghitungPembunuhanPerempuan https://t…",None,None,['mardiasih'],"['AsifaBano', 'NouraHussein', 'MenghitungPembunuhanPerempuan']"
2018-05-16 14:09:20,277016292,996754474654879744,0.8,@SpeakerRyan @SenMajLdr Happy now? Great strategy to kill Americans #Trumpcare https://t.co/Fi31L2sN39,996478489179107328,None,"['SpeakerRyan', 'SenMajLdr']",['Trumpcare']
2018-05-16 19:53:32,921654726827171840,996841097438617601,0.8,"I'm just going to kill myself, goodbye and welcome agony and death then",None,None,[],[]
2018-05-16 20:02:25,847735496633536512,996843332016975872,0.8,Here are your 'Kurdish terrorists' liberating Syria from ISIS rape and death cults and killing the caliphate in its capital of Raqqa @theresa_may   Meanwhile you welcome Turkish tyrant Erdoğan to Downing Street whilst his supporters do fascist salutes and chant Islamist slogans https://t.co/ANybgn9Yfo,None,None,[],[]
2018-05-16 20:04:04,496127330,996843747869642752,0.8,Here are your 'Kurdish terrorists' liberating Syria from ISIS rape and death cults and killing the caliphate in its capital of Raqqa @theresa_may   Meanwhile you welcome Turkish tyrant Erdoğan to Downing Street whilst his supporters do fascist salutes and chant Islamist slogans https://t.co/ANybgn9Yfo,None,None,['KurdsCampaign'],[]
2018-05-16 20:04:07,2574890250,996843761740197888,0.8,Here are your 'Kurdish terrorists' liberating Syria from ISIS rape and death cults and killing the caliphate in its capital of Raqqa @theresa_may   Meanwhile you welcome Turkish tyrant Erdoğan to Downing Street whilst his supporters do fascist salutes and chant Islamist slogans https://t.co/ANybgn9Yfo,None,None,['KurdsCampaign'],[]
2018-05-16 20:05:37,977632790283018246,996844138070007808,0.8,Here are your 'Kurdish terrorists' liberating Syria from ISIS rape and death cults and killing the caliphate in its capital of Raqqa @theresa_may   Meanwhile you welcome Turkish tyrant Erdoğan to Downing Street whilst his supporters do fascist salutes and chant Islamist slogans https://t.co/ANybgn9Yfo,None,None,['KurdsCampaign'],[]
2018-05-16 20:05:41,825057398628945922,996844152162803712,0.8,Here are your 'Kurdish terrorists' liberating Syria from ISIS rape and death cults and killing the caliphate in its capital of Raqqa @theresa_may   Meanwhile you welcome Turkish tyrant Erdoğan to Downing Street whilst his supporters do fascist salutes and chant Islamist slogans https://t.co/ANybgn9Yfo,None,None,['KurdsCampaign'],[]
2018-05-16 20:07:29,885947823749033988,996844608461201410,0.8,Here are your 'Kurdish terrorists' liberating Syria from ISIS rape and death cults and killing the caliphate in its capital of Raqqa @theresa_may   Meanwhile you welcome Turkish tyrant Erdoğan to Downing Street whilst his supporters do fascist salutes and chant Islamist slogans https://t.co/ANybgn9Yfo,None,None,['KurdsCampaign'],[]
2018-05-16 20:08:14,2351339615,996844796911259648,0.8,Here are your 'Kurdish terrorists' liberating Syria from ISIS rape and death cults and killing the caliphate in its capital of Raqqa @theresa_may   Meanwhile you welcome Turkish tyrant Erdoğan to Downing Street whilst his supporters do fascist salutes and chant Islamist slogans https://t.co/ANybgn9Yfo,None,None,['KurdsCampaign'],[]
2018-05-16 20:11:48,3032293660,996845691648512001,0.8,Here are your 'Kurdish terrorists' liberating Syria from ISIS rape and death cults and killing the caliphate in its capital of Raqqa @theresa_may   Meanwhile you welcome Turkish tyrant Erdoğan to Downing Street whilst his supporters do fascist salutes and chant Islamist slogans https://t.co/ANybgn9Yfo,None,None,['KurdsCampaign'],[]
2018-05-16 20:11:49,401578643,996845698254503937,0.8,Here are your 'Kurdish terrorists' liberating Syria from ISIS rape and death cults and killing the caliphate in its capital of Raqqa @theresa_may   Meanwhile you welcome Turkish tyrant Erdoğan to Downing Street whilst his supporters do fascist salutes and chant Islamist slogans https://t.co/ANybgn9Yfo,None,None,['KurdsCampaign'],[]
2018-05-16 20:12:34,505072409,996845888189353984,0.8,Here are your 'Kurdish terrorists' liberating Syria from ISIS rape and death cults and killing the caliphate in its capital of Raqqa @theresa_may   Meanwhile you welcome Turkish tyrant Erdoğan to Downing Street whilst his supporters do fascist salutes and chant Islamist slogans https://t.co/ANybgn9Yfo,None,None,['KurdsCampaign'],[]
2018-05-16 20:12:40,987674001022611457,996845910540812289,0.8,Here are your 'Kurdish terrorists' liberating Syria from ISIS rape and death cults and killing the caliphate in its capital of Raqqa @theresa_may   Meanwhile you welcome Turkish tyrant Erdoğan to Downing Street whilst his supporters do fascist salutes and chant Islamist slogans https://t.co/ANybgn9Yfo,None,None,['KurdsCampaign'],[]
2018-05-16 20:14:10,2214642199,996846289349464064,0.8,Here are your 'Kurdish terrorists' liberating Syria from ISIS rape and death cults and killing the caliphate in its capital of Raqqa @theresa_may   Meanwhile you welcome Turkish tyrant Erdoğan to Downing Street whilst his supporters do fascist salutes and chant Islamist slogans https://t.co/ANybgn9Yfo,None,None,['KurdsCampaign'],[]
2018-05-16 20:16:28,4906323683,996846868826075138,0.8,Here are your 'Kurdish terrorists' liberating Syria from ISIS rape and death cults and killing the caliphate in its capital of Raqqa @theresa_may   Meanwhile you welcome Turkish tyrant Erdoğan to Downing Street whilst his supporters do fascist salutes and chant Islamist slogans https://t.co/ANybgn9Yfo,None,None,['KurdsCampaign'],[]
2018-05-16 20:16:47,748560929491718144,996846946735280128,0.8,Here are your 'Kurdish terrorists' liberating Syria from ISIS rape and death cults and killing the caliphate in its capital of Raqqa @theresa_may   Meanwhile you welcome Turkish tyrant Erdoğan to Downing Street whilst his supporters do fascist salutes and chant Islamist slogans https://t.co/ANybgn9Yfo,None,None,['KurdsCampaign'],[]
2018-05-16 20:17:37,716962945352278016,996847159323582464,0.8,Here are your 'Kurdish terrorists' liberating Syria from ISIS rape and death cults and killing the caliphate in its capital of Raqqa @theresa_may   Meanwhile you welcome Turkish tyrant Erdoğan to Downing Street whilst his supporters do fascist salutes and chant Islamist slogans https://t.co/ANybgn9Yfo,None,None,['KurdsCampaign'],[]
2018-05-16 20:21:11,958085324328132608,996848055994474496,0.8,Here are your 'Kurdish terrorists' liberating Syria from ISIS rape and death cults and killing the caliphate in its capital of Raqqa @theresa_may   Meanwhile you welcome Turkish tyrant Erdoğan to Downing Street whilst his supporters do fascist salutes and chant Islamist slogans https://t.co/ANybgn9Yfo,None,None,['KurdsCampaign'],[]
