Date,UserID,TweetID,TweetPol,DescPol,QuotePol,HashPol,RTUserID,QUserID,ReplyUserID,RTweetID
2018-05-15 10:56:41,959911846898733058,996343606381248512,-0.202,0.0,0,0,None,None,959911846898733058,None
2018-05-16 04:42:58,362084030,996611944646873088,-0.203,-0.357,0,0,None,None,None,None
2018-05-15 11:16:46,436260390,996348661968834561,-0.205,0.09,0.0,0,None,None,None,None
2018-05-16 10:29:48,17755316,996699227999813632,-0.205,0.088,0,0,None,None,None,None
2018-05-16 10:41:12,17755316,996702096207429632,-0.205,0.088,0,0,17755316,None,None,996699227999813632
2018-05-14 17:30:10,850885218517094400,996080241360691200,-0.206,0.25,0,0,None,None,850885218517094400,None
2018-05-15 18:40:44,755571239398367234,996460387062173698,-0.206,0.068,0,0,None,None,818091794017775617,None
2018-05-16 04:13:40,964890887603081216,996604571957968896,-0.206,0.0,0,0,None,None,None,None
2018-05-16 08:47:53,2884866199,996673578891468800,-0.206,-0.8,0,0,None,None,854033221,None
2018-05-16 14:10:43,169287527,996754825206362117,-0.206,0.0,0,0,None,None,3219330344,None
2018-05-15 03:58:00,763152691845443584,996238239336820736,-0.207,0.017,0,0,None,None,None,None
2018-05-15 20:11:23,800359208860323840,996483199118270464,-0.207,-0.2,0,0,None,None,125796352,None
2018-05-16 18:30:14,3329500299,996820134412144640,-0.207,0.1,0,0.0,2790518743,None,None,996790805099634688
2018-05-16 18:48:49,872424643457679360,996824808754241536,-0.207,-0.167,0,0.0,2790518743,None,None,996790805099634688
2018-05-15 00:53:49,3218979548,996191889429708800,-0.208,0.284,0,0,None,None,44196397,None
2018-05-15 16:12:32,811214844263354368,996423090790903809,-0.208,0.0,0,0,134709467,None,None,972821859531190272
2018-05-15 16:42:25,4880083306,996430613455474688,-0.208,0.357,0.0,0,None,None,None,None
2018-05-15 21:30:18,359401279,996503061303644160,-0.208,0.0,0,0,None,None,None,None
2018-05-16 20:09:02,2648936891,996844998493687808,-0.208,0.6,0,0,None,None,2654589068,None
2018-05-15 00:14:13,624493782,996181923486687232,-0.209,0.0,0,0.0,747976695618035712,None,None,996139650371670016
2018-05-15 23:41:24,2435780931,996536052562251781,-0.21,0.031,0,0,None,None,None,None
2018-05-16 03:45:29,7334062,996597478135824385,-0.21,0.0,0,0,None,None,3102316346,None
2018-05-16 10:51:01,400205597,996704569483776000,-0.21,0.0,0,0,None,None,400205597,None
2018-05-16 11:07:23,769423574,996708686767718400,-0.21,0.0,0,0,None,None,15157283,None
2018-05-15 14:01:30,873652346391318528,996390117400023040,-0.211,0.1,0,0,None,None,None,None
2018-05-15 15:46:02,355840435,996416423181287430,-0.211,0.0,0,0,873652346391318528,None,None,996390117400023040
2018-05-15 14:46:44,2239637844,996401500481048576,-0.212,0.0,0,0,None,None,None,None
2018-05-15 15:29:53,926565788542210054,996412358422663170,-0.212,0.193,0,0,None,None,900927012201611265,None
2018-05-16 20:21:46,3399193727,996848202258280448,-0.212,0.0,0,0,None,None,545081356,None
2018-05-14 20:30:18,15664638,996125572760817665,-0.214,0.5,0,0.0,None,None,None,None
2018-05-14 20:31:57,553670508,996125987615137792,-0.214,0.0,0,0.0,15664638,None,None,996125572760817665
2018-05-15 06:49:04,995484498262343681,996281291078230017,-0.214,0.0,0,0,None,None,None,None
2018-05-15 18:53:24,21856915,996463577010769922,-0.215,0.0,0,0,None,None,107584813,None
2018-05-15 23:49:31,2940459512,996538097088122886,-0.216,0.0,0,0,None,None,1519986596,None
2018-05-14 18:48:32,784139475190513664,996099963338797057,-0.217,0.078,0,0,745429368353103873,None,None,991843639142727681
2018-05-14 20:53:56,130567951,996131521336508416,-0.217,0.0,0,0,None,None,130567951,None
2018-05-14 23:25:39,632540187,996169702903894016,-0.217,0.0,0,0,None,None,None,None
